"datetime","deployment","pm10.avg","wd","ws"
2015-12-16 15:00:00,"T29-4N",6.168295,79.37875,1.371876352
2015-12-16 16:00:00,"T29-4N",8.158238,112.8307,2.841743872
2015-12-16 17:00:00,"T29-4N",9.13096,83.27551,1.763841024
2015-12-16 18:00:00,"T29-4N",7.528446,275.9661,2.351788032
2015-12-16 19:00:00,"T29-4N",9.816227,28.93967,1.273885184
2015-12-16 20:00:00,"T29-4N",10.64713,176.1542,0.783929344
2015-12-16 21:00:00,"T29-4N",9.774677,0.02817461,0.685938176
2015-12-16 22:00:00,"T29-4N",8.463721,350.6765,1.077902848
2015-12-16 23:00:00,"T29-4N",9.212873,342.1201,2.4497792
2015-12-17 00:00:00,"T29-4N",6.182151,307.6105,0.391964672
2015-12-17 01:00:00,"T29-4N",6.946251,352.3106,2.253796864
2015-12-17 02:00:00,"T29-4N",7.757455,267.6134,0
2015-12-17 03:00:00,"T29-4N",8.288775,337.5992,0.97991168
2015-12-17 04:00:00,"T29-4N",11.35456,322.6493,1.371876352
2015-12-17 05:00:00,"T29-4N",9.569107,315.5168,1.46986752
2015-12-17 06:00:00,"T29-4N",10.41386,326.3206,0.97991168
2015-12-17 07:00:00,"T29-4N",11.78634,284.2971,1.175894016
2015-12-17 08:00:00,"T29-4N",14.53092,300.9721,0.195982336
2015-12-17 09:00:00,"T29-4N",13.97711,25.13176,1.175894016
2015-12-17 10:00:00,"T29-4N",12.10559,132.4922,1.371876352
2015-12-17 11:00:00,"T29-4N",8.631216,67.94635,0.391964672
2015-12-17 12:00:00,"T29-4N",6.531081,124.9674,1.95982336
2015-12-17 13:00:00,"T29-4N",6.938012,209.7622,0
2015-12-17 14:00:00,"T29-4N",5.970231,103.6176,1.46986752
2015-12-17 15:00:00,"T29-4N",7.568166,103.9709,0.587947008
2015-12-17 16:00:00,"T29-4N",7.352005,210.5403,0.587947008
2015-12-17 17:00:00,"T29-4N",8.090877,84.1641,2.93973504
2015-12-17 18:00:00,"T29-4N",22.05007,149.7243,1.175894016
2015-12-17 19:00:00,"T29-4N",18.20707,50.72733,0.587947008
2015-12-17 20:00:00,"T29-4N",19.67098,54.25782,1.861832192
2015-12-17 21:00:00,"T29-4N",15.35179,330.5013,2.253796864
2015-12-17 22:00:00,"T29-4N",10.69888,39.02402,1.175894016
2015-12-17 23:00:00,"T29-4N",13.52596,235.2321,1.273885184
2015-12-18 00:00:00,"T29-4N",9.287835,238.1016,2.253796864
2015-12-18 01:00:00,"T29-4N",9.779875,270.9705,1.46986752
2015-12-18 02:00:00,"T29-4N",7.98841,322.5799,2.057814528
2015-12-18 03:00:00,"T29-4N",7.972289,288.5493,1.175894016
2015-12-18 04:00:00,"T29-4N",7.609588,340.9584,2.351788032
2015-12-18 05:00:00,"T29-4N",8.248948,318.8955,1.371876352
2015-12-18 06:00:00,"T29-4N",10.08153,4.811358,0.881920512
2015-12-18 07:00:00,"T29-4N",11.11263,16.42581,2.841743872
2015-12-18 08:00:00,"T29-4N",9.406379,93.61993,0.48995584
2015-12-18 09:00:00,"T29-4N",12.68168,306.7653,0
2015-12-18 10:00:00,"T29-4N",11.69749,114.7249,1.273885184
2015-12-18 11:00:00,"T29-4N",9.156369,133.7059,1.567858688
2015-12-18 12:00:00,"T29-4N",8.660952,67.28967,0.97991168
2015-12-18 13:00:00,"T29-4N",11.64665,137.2473,1.763841024
2015-12-18 14:00:00,"T29-4N",5.194648,78.6462,1.567858688
2015-12-18 15:00:00,"T29-4N",5.480066,93.96886,0.685938176
2015-12-18 16:00:00,"T29-4N",6.18793,120.6502,2.057814528
2015-12-18 17:00:00,"T29-4N",10.19408,119.2047,2.057814528
2015-12-18 18:00:00,"T29-4N",9.273424,122.2844,1.665849856
2015-12-18 19:00:00,"T29-4N",7.171984,130.9578,2.253796864
2015-12-18 20:00:00,"T29-4N",6.585082,78.66355,1.665849856
2015-12-18 21:00:00,"T29-4N",6.007712,190.9611,0.48995584
2015-12-18 22:00:00,"T29-4N",6.577526,290.5844,1.861832192
2015-12-18 23:00:00,"T29-4N",7.195672,28.34584,1.95982336
2015-12-19 00:00:00,"T29-4N",5.411685,1.84002,1.763841024
2015-12-19 01:00:00,"T29-4N",7.232829,194.1643,0.783929344
2015-12-19 02:00:00,"T29-4N",15.74709,318.2042,2.351788032
2015-12-19 03:00:00,"T29-4N",11.41992,334.9334,2.743752704
2015-12-19 04:00:00,"T29-4N",7.223825,308.0049,2.743752704
2015-12-19 05:00:00,"T29-4N",7.203987,334.9096,3.233708544
2015-12-19 06:00:00,"T29-4N",9.843875,333.607,3.723664384
2015-12-19 07:00:00,"T29-4N",9.007031,336.2446,3.527682048
